t,Impulso
1,-60.61
2,-53.04
3,-42.53
4,-43.45
5,-42.92
6,-32.37
7,-9.44
8,24.17
9,46.47
10,-10.61
11,-41.49
12,-47.75
13,-54.91
14,-65.43
15,-57.24
