t,Impulso
1,-62.36
2,-58.4
3,-61.48
4,-59.38
5,-54.85
6,-51.16
7,-46.83
8,-42.21
9,-41.39
10,-43.98
11,-43.0
12,-42.44
13,-42.66
14,-45.71
15,-45.9
16,-43.24
17,-39.62
18,-38.27
19,-36.63
20,-28.77
21,-25.89
22,-19.05
23,-13.66
24,-7.71
25,2.68
26,7.91
27,23.49
28,41.13
29,49.6
30,54.85
31,49.51
32,31.93
33,-1.03
34,-13.33
35,-17.84
36,-27.19
37,-41.54
38,-51.87
39,-45.39
40,-47.51
41,-46.72
42,-49.02
43,-49.47
44,-58.88
45,-56.11
46,-55.18
47,-67.46
48,-68.98
49,-61.68
50,-63.61
51,-57.24
