t,Impulso
1,-222.8
2,-133.71
3,57.07
4,-96.24
5,-19.88
6,143.15
7,122.72
8,221.74
9,-105.23
10,172.75
11,-74.46
12,56.61
13,-24.39
14,-257.05
15,-90.55
16,-321.95
17,-264.1
18,-274.91
